date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:31	23/23	---M--	200	added ('OK')	text/plain	etag:%225e5c69fa-17%22	https://auralighting.vn/robots.txt		(from )
13:31:32	161381/161381	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2006:31:33%20GMT	https://auralighting.vn/	C:/My%20Web%20Sites/test/auralighting.vn/index.html	(from )
13:31:32	107922/107922	---MCZ	200	added ('OK')	text/css	etag:W/%2262d21564-1a592%22	https://auralighting.vn/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.6.7	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/elementor/assets/css/frontend-lite.minf4e1.css	(from https://auralighting.vn/)
13:31:32	7880/7880	---MCZ	200	added ('OK')	text/css	etag:W/%2262d215b3-1ec8%22	https://auralighting.vn/wp-content/uploads/elementor/css/post-735.css?ver=1657935283	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/uploads/elementor/css/post-735761b.css	(from https://auralighting.vn/)
13:31:33	8650/8650	---MCZ	200	added ('OK')	text/css	etag:W/%22634f5e59-21ca%22	https://auralighting.vn/wp-content/uploads/elementor/css/post-800.css?ver=1666145881	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/uploads/elementor/css/post-800a9ca.css	(from https://auralighting.vn/)
13:31:33	1085/1085	---MC-	200	added ('OK')	application/rss+xml	etag:%22f1e49060a31ea82ca15eb4faee22a2d0%22	https://auralighting.vn/feed/	C:/My%20Web%20Sites/test/auralighting.vn/feed/index.html	(from https://auralighting.vn/)
13:31:33	47468/47468	---MCZ	200	added ('OK')	text/css	etag:W/%2261a97976-b96c%22	https://auralighting.vn/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.7.5	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/themes/astra/assets/css/minified/frontend.min3430.css	(from https://auralighting.vn/)
13:31:33	742/742	---MC-	200	added ('OK')	application/rss+xml	etag:%22f1e49060a31ea82ca15eb4faee22a2d0%22	https://auralighting.vn/comments/feed/	C:/My%20Web%20Sites/test/auralighting.vn/comments/feed/index.html	(from https://auralighting.vn/)
13:31:33	3304/3304	---M--	200	added ('OK')	font/woff	etag:%2261a97976-ce8%22	https://auralighting.vn/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/themes/astra/assets/fonts/astra.woff	(from https://auralighting.vn/)
13:31:33	3412/3412	---MCZ	200	added ('OK')	text/css	etag:W/%2261a97976-d54%22	https://auralighting.vn/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.7.5	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/themes/astra/assets/css/minified/menu-animation.min3430.css	(from https://auralighting.vn/)
13:31:33	1847/1847	---MCZ	200	added ('OK')	text/css	etag:W/%2262d17f9c-737%22	https://auralighting.vn/wp-content/plugins/sina-extension-for-elementor/assets/css/sina-morphing.min.css?ver=3.4.2	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/sina-extension-for-elementor/assets/css/sina-morphing.minccfb.css	(from https://auralighting.vn/)
13:31:34	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2262d174aa-15b64%22	https://auralighting.vn/wp-includes/css/dist/block-library/style.min.css?ver=6.0.9	C:/My%20Web%20Sites/test/auralighting.vn/wp-includes/css/dist/block-library/style.minbfbf.css	(from https://auralighting.vn/)
13:31:34	89973/89973	---MCZ	200	added ('OK')	text/css	etag:W/%2262d17f9c-15f75%22	https://auralighting.vn/wp-content/plugins/sina-extension-for-elementor/admin/assets/css/icofont.min.css?ver=3.4.2	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/sina-extension-for-elementor/admin/assets/css/icofont.minccfb.css	(from https://auralighting.vn/)
13:31:34	30999/30999	---MCZ	200	added ('OK')	text/css	etag:W/%2262d21564-7917%22	https://auralighting.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://auralighting.vn/)
13:31:34	120523/120523	---MCZ	200	added ('OK')	text/css	etag:W/%2262d2165d-1d6cb%22	https://auralighting.vn/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=2.6.2	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons61da.css	(from https://auralighting.vn/)
13:31:35	19128/19128	---MCZ	200	added ('OK')	text/css	etag:W/%2262d21564-4ab8%22	https://auralighting.vn/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://auralighting.vn/)
13:31:35	1293/1293	---MCZ	200	added ('OK')	text/css	etag:W/%2262d215b3-50d%22	https://auralighting.vn/wp-content/uploads/elementor/css/post-475.css?ver=1657935283	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/uploads/elementor/css/post-475761b.css	(from https://auralighting.vn/)
13:31:35	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2262d21564-e7d0%22	https://auralighting.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.6.7	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minf4e1.css	(from https://auralighting.vn/)
13:31:35	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%2262d21564-684e%22	https://auralighting.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.6.7	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minf4e1.css	(from https://auralighting.vn/)
13:31:35	8556/8556	---MCZ	200	added ('OK')	text/css	etag:W/%2266b9c83a-216c%22	https://auralighting.vn/wp-content/uploads/elementor/css/post-153.css?ver=1723451450	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/uploads/elementor/css/post-153a679.css	(from https://auralighting.vn/)
13:31:36	450573/450573	---MCZ	200	added ('OK')	text/css	etag:W/%2262d2165d-6e00d%22	https://auralighting.vn/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=2.6.2	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles61da.css	(from https://auralighting.vn/)
13:31:36	30283/30283	---MCZ	200	added ('OK')	text/css	etag:W/%2262d2165d-764b%22	https://auralighting.vn/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=2.6.2	C:/My%20Web%20Sites/test/auralighting.vn/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive61da.css	(from https://auralighting.vn/)
13:31:36	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261636298-15db1%22	https://auralighting.vn/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/test/auralighting.vn/wp-includes/js/jquery/jquery.minaf6c.js	(from https://auralighting.vn/)
